Wahlkreisnummer;Wahlkreisname;Enthaltene Städte und Gemeinden
1;Vogtland 1;die Stadt Plauen im Vogtlandkreis
2;Vogtland 2;Adorf, Bad Elster, Markneukirchen, Oelsnitz, Pausa-Mühltroff, Schöneck,Bad Brambach, Bergen, Bösenbrunn, Eichigt, Mühlental, Reuth, Rosenbach, Theuma, Tirpersdorf, Triebel, Weischlitz, Werda im Vogtlandkreis
3;Vogtland 3;Auerbach, Falkenstein, Klingenthal, Treuen, Ellefeld, Grünbach, Muldenhammer, Neuensalz, Neustadt im Vogtlandkreis
4;Vogtland 4;Elsterberg, Lengenfeld, Mylau, Netzschkau, Reichenbach im Vogtland, Rodewisch, Heinsdorfergrund, Limbach, Neumark, Pöhl, Steinberg im Vogtlandkreis
5;Zwickau 1;Hartenstein, Kirchberg, Wildenfels, Wilkau-Haßlau, Crinitzberg, Hartmannsdorf, Hirschfeld, Langenweißbach, Lichtentanne, Mülsen, Reinsdorf im Landkreis Zwickau
6;Zwickau 2;Crimmitschau, Werdau, Dennheritz, Fraureuth, Langenbernsdorf, Neukirchen, West der Stadt Zwickau im Landkreis Zwickau
7;Zwickau 3;die Stadtbezirke Mitte, Ost, Nord und Süd der Stadt Zwickau im Landkreis Zwickau
8;Zwickau 4;Glauchau, Lichtenstein, Meerane, Waldenburg, Bernsdorf, Oberwiera, Remse, St. Egidien im Landkreis Zwickau
9;Zwickau 5;Hohenstein-Ernstthal, Limbach-Oberfrohna, Oberlungwitz, Callenberg, Gersdorf, Niederfrohna im Landkreis Zwickau
10;Chemnitz 1;von der Stadt Chemnitz die Stadtteile: Altendorf, Grüna, Hutholz, Kaßberg, Mittelbach, Morgenleite, Rabenstein, Reichenbrand, Röhrsdorf, Rottluff, Schloßchemnitz, Siegmar und Stelzendorf
11;Chemnitz 2;von der Stadt Chemnitz die Stadtteile: Borna-Heinersdorf, Ebersdorf, Furth, Gablenz, Glösa-Draisdorf, Hilbersdorf, Lutherviertel, Sonnenberg, Wittgensdorf, Yorckgebiet und Zentrum
12;Chemnitz 3;von der Stadt Chemnitz die Stadtteile: Adelsberg, Altchemnitz, Bernsdorf, Einsiedel, Erfenschlag, Euba, Harthau, Helbersdorf, Kapellenberg, Kappel, Klaffenbach, Kleinolbersdorf-Altenhain, Markersdorf, Reichenhain und Schönau
13;Erzgebirge 1;Lugau, Oelsnitz, Stollberg, Thalheim, Amtsberg, Auerbach, Burkhardtsdorf, Gornsdorf, Hohndorf, Jahnsdorf, Neukirchen, Niederdorf, Niederwürschnitz im Erzgebirgskreis
14;Erzgebirge 2;Aue, Eibenstock, Schneeberg, Bad Schlema, Bockau, Schönheide, Stützengrün, Zschorlau im Erzgebirgskreis
15;Erzgebirge 3;Elterlein, Grünhain-Beierfeld, Johanngeorgenstadt, Lauter-Bernsbach, Lößnitz, Schwarzenberg, Zwönitz, Breitenbrunn, Raschau-Markersbach im Erzgebirgskreis
16;Erzgebirge 4;Städt: Annaberg-Buchholz, Ehrenfriedersdorf, Geyer, Jöhstadt, Oberwiesenthal, Scheibenberg, Schlettau, Thum, Bärenstein, Crottendorf, Gelenau, Königswalde, Mildenau, Sehmatal, Thermalbad Wiesenbad im Erzgebirgskreis
17;Erzgebirge 5;Marienberg, Olbernhau, Pockau-Lengefeld, Wolkenstein, Zschopau, Börnichen, Borstendorf, Deutschneudorf, Drebach, Gornau, Großolbersdorf, Großrückerswalde, Grünhainichen, Heidersdorf, Pfaffroda, Seiffen im Erzgebirgskreis
18;Mittelsachsen 1;Augustusburg, Brand-Erbisdorf, Flöha, Oederan, Sayda, Dorfchemnitz, Eppendorf, Großhartmannsdorf, Leubsdorf, Mulda, Neuhausen, Niederwiesa, Rechenberg-Bienenmühle im Landkreis Mittelsachsen
19;Mittelsachsen 2;Frauenstein, Freiberg, Großschirma, Bobritzsch-Hilbersdorf, Halsbrücke, Lichtenberg, Oberschöna, Reinsberg, Weißenborn im Landkreis Mittelsachsen
20;Mittelsachsen 3;Frankenberg, Hainichen, Mittweida, Altmittweida, Erlau, Kriebstein, Lichtenau, Rossau, Striegistal im Landkreis Mittelsachsen
21;Mittelsachsen 4;Döbeln, Hartha, Leisnig, Roßwein, Waldheim, Großweitzschen, Mochau, Ostrau, Zschaitz-Ottewig im Landkreis Mittelsachsen
22;Mittelsachsen 5;Burgstädt, Geringswalde, Lunzenau, Penig, Rochlitz, Claußnitz, Hartmannsdorf, Königsfeld, Königshain-Wiederau, Mühlau, Seelitz, Taura, Wechselburg, Zettlitz im Landkreis Mittelsachsen
23;Leipzig Land 1;Landkreis Leipzig: z. B. Borna und Geithain
24;Leipzig Land 2;Landkreis Leipzig: z. B. Markkleeberg und Markranstädt
25;Leipzig Land 3;Landkreis Leipzig: z. B. Grimma
26;Leipzig Land 4;Landkreis Leipzig: z. B. Wurzen
27;Leipzig 1;Leipzig
28;Leipzig 2;Leipzig
29;Leipzig 3;Leipzig
30;Leipzig 4;Leipzig
31;Leipzig 5;Leipzig
32;Leipzig 6;Leipzig
33;Leipzig 7;Leipzig
34;Nordsachsen 1;Delitzsch, Schkeuditz, Krostitz, Löbnitz, Rackwitz, Schönwölkau und Wiedemar im Landkreis Nordsachsen
35;Nordsachsen 2;Landkreis Nordsachsen: z. B. Eilenburg
36;Nordsachsen 3;Landkreis Nordsachsen: z. B. Oschatz und Torgau
37;Meißen 1;Landkreis Meißen: z. B. Riesa (entstand aus dem ehemaligen Wahlkreis Riesa-Großenhain 1)
38;Meißen 2;Landkreis Meißen: z. B. Großenhain und Radeburg (entstand aus dem ehemaligen Wahlkreis Riesa-Großenhain 2)
39;Meißen 3;Landkreis Meißen: z. B. Meißen (entstand aus dem ehemaligen Wahlkreis Meißen 1)
40;Meißen 4;Landkreis Meißen: Coswig, Moritzburg und Radebeul (entstand aus dem ehemaligen Wahlkreis Meißen 2)
41;Dresden 1;Dresden (u. a. Äußere Neustadt, Klotzsche, Weixdorf, Schönfeld-Weißig)
42;Dresden 2;Dresden (u. a. Prohlis, Leuben, Loschwitz)
43;Dresden 3;Dresden (u. a. Plauen, Leubnitz-Neuostra, Lockwitz)
44;Dresden 4;Dresden (u. a. Blasewitz)
45;Dresden 5;Dresden (u. a. Innere Altstadt, Johannstadt, Innere Neustadt)
46;Dresden 6;Dresden (u. a. Löbtau, Gorbitz, Cossebaude)
47;Dresden 7;Dresden (Stadtbezirk Pieschen, vom Stadtbezirk Altstadt die statistischen Stadtteile Friedrichstadt und Wilsdruffer Vorstadt/Seevorstadt-West, vom Stadtbezirk Cotta der statistische Stadtteil Cotta mit Friedrichstadt-Südwest der kreisfreien Stadt Dresden)
48;Sächsische Schweiz-Osterzgebirge 1;Landkreis Sächsische Schweiz-Osterzgebirge: z. B. Freital
49;Sächsische Schweiz-Osterzgebirge 2;Landkreis Sächsische Schweiz-Osterzgebirge: z. B. Dippoldiswalde
50;Sächsische Schweiz-Osterzgebirge 3;Landkreis Sächsische Schweiz-Osterzgebirge: z. B. Pirna
51;Sächsische Schweiz-Osterzgebirge 4;Landkreis Sächsische Schweiz-Osterzgebirge: z. B. Sebnitz
52;Bautzen 1;Bischofswerda, Schirgiswalde-Kirschau, Wilthen, Burkau, Cunewalde, Demitz-Thumitz, Frankenthal, Göda, Großharthau, Großpostwitz, Neukirch, Obergurig, Rammenau, Schmölln-Putzkau, Sohland, Steinigtwolmsdorf im Landkreis Bautzen
53;Bautzen 2;Elstra, Großröhrsdorf, Kamenz, Pulsnitz, Arnsdorf, Bretnig-Hauswalde, Crostwitz, Großnaundorf, Haselbachtal, Lichtenberg, Nebelschütz, Ohorn, Panschwitz-Kuckau, Räckelwitz, Ralbitz-Rosenthal, Steina im Landkreis Bautzen
54;Bautzen 3;Bernsdorf, Königsbrück, Lauta, Radeberg, Wittichenau, Laußnitz, Neukirch, Oßling, Ottendorf-Okrilla, Schwepnitz, Wachau im Landkreis Bautzen
55;Bautzen 4;Stadt: Hoyerswerda, Elsterheide, Königswartha, Lohsa, Neschwitz, Puschwitz, Radibor, Spreetal im Landkreis Bautzen
56;Bautzen 5;Bautzen, Weißenberg, Doberschau-Gaußig, Großdubrau, Hochkirch, Kubschütz, Malschwitz im Landkreis Bautzen
57;Görlitz 1;Bad Muskau, Niesky, Rothenburg, Weißwasser, Boxberg, Gablenz, Groß Düben, Hähnichen, Hohendubrau, Horka, Kodersdorf, Krauschwitz, Kreba-Neudorf, Mücka, Neißeaue, Quitzdorf am See, Rietschen, Schleife, Schöpstal, Trebendorf, Waldhufen, Weißkeißel im Landkreis Görlitz
58;Görlitz 2;Görlitz, Reichenbach, Königshain, Markersdorf, Vierkirchen im Landkreis Görlitz
59;Görlitz 3;Bernstadt a. d. Eigen, Ebersbach-Neugersdorf, Herrnhut, Löbau, Neusalza-Spremberg, Ostritz, Beiersdorf, Dürrhennersdorf, Großschweidnitz, Kottmar, Lawalde, Oppach, Rosenbach, Schönau-Berzdorf a. d. Eigen, Schönbach im Landkreis Görlitz
60;Görlitz 4;Städte:Seifhennersdorf, Zittau, Bertsdorf-Hörnitz, Großschönau, Hainewalde, Jonsdorf, Leutersdorf, Mittelherwigsdorf, Oderwitz, Olbersdorf, Oybin, im Landkreis Görlitz
